aa: /ɑː/ aa
accommodation: /əˌkɑːməˈdeɪʃən/ 住宿
accomodate: /əˈkɑːmədeɪt/ 容纳 (错误的拼写)
accompanied: /əˈkʌmpənɪd/ 陪伴的
accompanies: /əˈkʌmpənɪz/ 陪伴
accompaniment: /əˈkʌmpənɪmənt/ 伴奏
accompaniments: /əˈkʌmpənɪmənts/ 伴奏
accompanist: /əˈkʌmpənɪst/ 伴奏者
accompany: /əˈkʌmpəni/ 陪伴
accompli: /ˈæˌkɑːmpliː/ accompli
accomplices: /əˈkɑːmplɪsɪz/ 同谋
accomplish: /əˈkɑːmplɪʃ/ 完成
accomplished: /əˈkɑːmplɪʃt/ 完成的
accomplishing: /əˈkɑːmplɪʃɪŋ/ 完成
accomplishment: /əˈkɑːmplɪʃmənt/ 成就
accomplishments: /əˈkɑːmplɪʃmənts/ 成就
accord: /əˈkɔːrd/ 一致
accordance: /əˈkɔːrdəns/ 一致
accorded: /əˈkɔːrdɪd/ 被给予
according: /əˈkɔːrdɪŋ/ 依据
accordingly: /əˈkɔːrdɪŋli/ 因此
accosted: /əˈkɔːstɪd/ 被搭讪的
account: /əˈkaʊnt/ 账户
accountable: /əˈkaʊntəbəl/ 负责的
accountants: /əˈkaʊntənts/ 会计师
accounted: /əˈkaʊntɪd/ 被视为
accounting: /əˈkaʊntɪŋ/ 会计
accounts: /əˈkaʊnts/ 账户
accumulated: /əˈkjuːmjəˌleɪtɪd/ 累积的
accumulation: /əˌkjuːmjəˈleɪʃən/ 积累
accumulator: /əˈkjuːmjəˌleɪtər/ 蓄电池
accuracy: /ˈækjərəsi/ 准确性
accurate: /ˈækjərət/ 准确的
accurately: /ˈækjərətli/ 准确地
accusation: /ˌækjuˈzeɪʃən/ 指责
accusations: /ˌækjuˈzeɪʃənz/ 指责
accused: /əˈkjuːzd/ 被指控的
accusing: /əˈkjuːzɪŋ/ 指责的
accustomed: /əˈkʌstəmd/ 习惯的
acenet: /ˈeɪsɛˌnɛt/ acenet
achenlec: /ˈeɪkənˌlɛk/ achenlec
achievable: /əˈtʃiːvəbəl/ 可实现的
achieve: /əˈtʃiːv/ 实现
achieved: /əˈtʃiːvd/ 实现的
achievement: /əˈtʃiːvmənt/ 成就
achievements: /əˈtʃiːvmənts/ 成就
achieves: /əˈtʃiːvz/ 实现
achieving: /əˈtʃiːvɪŋ/ 实现
achilles: /əˈkɪliːz/ 阿喀琉斯
achillus: /ˈækɪləs/ achillus
acidity: /əˈsɪdəti/ 酸度
acknowledge: /əkˈnɑːlɪdʒ/ 承认
acknowledged: /əkˈnɑːlɪdʒd/ 被承认的
acknowledgement: /əkˈnɑːlɪdʒmənt/ 承认
acknowledges: /əkˈnɑːlɪdʒɪz/ 承认
acknowledgment: /əkˈnɑːlɪdʒmənt/ 承认 (较少使用)
acmhr: /eɪsiːemˈeɪtʃɑːr/ acmhr
acon: /ˈeɪkɑːn/ acon
acore: /ˈeɪkɔːr/ acore
acoustic: /əˈkuːstɪk/ 声学的
acoustics: /əˈkuːstɪks/ 声学
acquaintance: /əˈkweɪntəns/ 熟人
acquainted: /əˈkweɪntɪd/ 熟悉的
acquiesced: /ˌækwiˈɛst/ 默许的
acquire: /əˈkwaɪər/ 获得
acquired: /əˈkwaɪərd/ 获得的
acquiring: /əˈkwaɪərɪŋ/ 获取
acquisition: /ˌækwɪˈzɪʃən/ 收购
acquisitions: /ˌækwɪˈzɪʃənz/ 收购
acreage: /ˈeɪkərɪdʒ/ 英亩数
acres: /ˈeɪkərz/ 英亩
acrobatic: /ˌækrəˈbætɪk/ 杂技的
acropolis: /əˈkrɑːpəlɪs/ 卫城
across: /əˈkrɔːs/ 横跨
acrw: /eɪˌsiːˈɑːrˈdʌbljuː/ acrw
acrylics: /əˈkrɪlɪks/ 丙烯酸
act: /ækt/ 行动
acted: /ˈæktɪd/ 行动
acting: /ˈæktɪŋ/ 表演
action: /ˈækʃən/ 行动
actions: /ˈækʃənz/ 行动
activ: /ˈæktɪv/ activ
activate: /ˈæktɪveɪt/ 激活
activated: /ˈæktɪveɪtɪd/ 被激活的
active: /ˈæktɪv/ 活跃的
actively: /ˈæktɪvli/ 活跃地
activists: /ˈæktɪvɪsts/ 活动家
activities: /ækˈtɪvətiz/ 活动
activity: /ækˈtɪvəti/ 活动
actor: /ˈæktər/ 演员
actors: /ˈæktərz/ 演员
actress: /ˈæktrəs/ 女演员
acts: /ækts/ 行为
actual: /ˈæktʃuəl/ 实际的
actuality: /ˌæktʃuˈæləti/ 实际
actually: /ˈæktʃuəli/ 实际上
acumen: /ˈækjumən/ 敏锐
acupuncture: /ˈækjuːˌpʌŋktʃər/ 针灸
ad: /æd/ 广告
ada: /ˈeɪdə/ 艾达
adaimyo: /ˌɑːˈdaɪmjoʊ/ adaimyo
adak: /ˈeɪˌdæk/ 阿达克
adakis: /ˈɑːdəkɪs/ adakis
adam: /ˈædəm/ 亚当
adamant: /ˈædəmənt/ 坚决的
adams: /ˈædəmz/ 亚当斯
adapt: /əˈdæpt/ 适应
adaptability: /əˌdæptəˈbɪləti/ 适应性
adaptable: /əˈdæptəbəl/ 适应性强的
adaptations: /ˌædæpˈteɪʃənz/ 适应
adapted: /əˈdæptɪd/ 适应的
adapters: /əˈdæptərz/ 适配器
adapting: /əˈdæptɪŋ/ 适应
adapts: /əˈdæpts/ 适应
add: /æd/ 添加
added: /ˈædɪd/ 添加的
adder: /ˈædər/ 加法器
addevent: /ˈædɪˌvɛnt/ addevent
addicting: /əˈdɪktɪŋ/ 使人上瘾的
addiction: /əˈdɪkʃən/ 瘾
adding: /ˈædɪŋ/ 添加
addition: /əˈdɪʃən/ 添加
additional: /əˈdɪʃənəl/ 额外的
additionally: /əˈdɪʃənəli/ 另外
additions: /əˈdɪʃənz/ 添加
address: /əˈdrɛs/ 地址
addressed: /əˈdrɛst/ 已处理
addresses: /əˈdrɛsɪz/ 地址
addressing: /əˈdrɛsɪŋ/ 解决
adds: /ædz/ 添加
adelaide: /ˈædəleɪd/ 阿德莱德
adelphos: /ɑːˈdɛlfɑːs/ adelphos
adept: /əˈdɛpt/ 熟练的
adequate: /ˈædɪkwət/ 足够的
adequately: /ˈædɪkwətli/ 足够地
ades: /ˈeɪdɛz/ ades
adherence: /ədˈhɪərəns/ 坚持
adhering: /ədˈhɪərɪŋ/ 坚持
adine: /ˈɑːdiːn/ adine
adjacent: /əˈdʒeɪsənt/ 相邻的
adjust: /əˈdʒʌst/ 调整
adjustable: /əˈdʒʌstəbəl/ 可调整的
adjusted: /əˈdʒʌstɪd/ 调整的
adjusting: /əˈdʒʌstɪŋ/ 调整
adjustment: /əˈdʒʌstmənt/ 调整
adjustments: /əˈdʒʌstmənts/ 调整
adjusts: /əˈdʒʌsts/ 调整
admin: /ˈædmɪn/ 管理员
administer: /ədˈmɪnɪstər/ 管理
administering: /ədˈmɪnɪstərɪŋ/ 管理
administration: /ədˌmɪnɪˈstreɪʃən/ 管理
administrative: /ədˈmɪnɪˌstreɪtɪv/ 行政的
administrator: /ədˈmɪnɪˌstreɪtər/ 管理员
administrators: /ədˈmɪnɪˌstreɪtərz/ 管理员
admirable: /ˈædmərəbəl/ 令人钦佩的
admiral: /ˈædmərəl/ 海军上将
admirals: /ˈædmərəlz/ 海军上将
admiralty: /ˈædmərəlti/ 海军部
admiration: /ˌædməˈreɪʃən/ 钦佩
admire: /ədˈmaɪər/ 钦佩
admit: /ədˈmɪt/ 承认
admitted: /ədˈmɪtɪd/ 承认的
admittedly: /ədˈmɪtɪdli/ 诚然
admitting: /ədˈmɪtɪŋ/ 承认
ado: /əˈduː/ 忙乱
adobe: /əˈdoʊbi/ 土坯
adolf: /ˈædɒlf/ 阿道夫
adonis: /əˈdɑːnɪs/ 阿多尼斯
adopt: /əˈdɑːpt/ 采用
adopted: /əˈdɑːptɪd/ 采用的
adopting: /əˈdɑːptɪŋ/ 采用
adoption: /əˈdɑːpʃən/ 采用
adoration: /ˌædəˈreɪʃən/ 崇拜
adored: /əˈdɔːrd/ 受爱戴的
adorned: /əˈdɔːrnd/ 装饰的
adrenaline: /əˈdrɛnəlɪn/ 肾上腺素
adrian: /ˈeɪdriən/ 艾德里安
adriatic: /ˌeɪdriˈætɪk/ 亚得里亚海
ads: /ædz/ 广告
aduan: /ˈɑːdwɑːn/ aduan
adulation: /ˌædʒəˈleɪʃən/ 奉承
adult: /ˈædʌlt/ 成年人
adults: /ˈædʌlts/ 成年人
adunik: /ˈɑːdʌnɪk/ adunik
advance: /ədˈvæns/ 前进
advanced: /ədˈvænst/ 先进的
advancement: /ədˈvænsmənt/ 进步
advancements: /ədˈvænsmənts/ 进步
advances: /ədˈvænsɪz/ 前进
advancing: /ədˈvænsɪŋ/ 前进
advantage: /ədˈvæntɪdʒ/ 优势
advantages: /ədˈvæntɪdʒɪz/ 优势
adventure: /ədˈvɛntʃər/ 冒险
adventurers: /ədˈvɛntʃərərz/ 冒险家
adventures: /ədˈvɛntʃərz/ 冒险
adversaries: /ˈædvərˌsɛriz/ 对手
adversary: /ˈædvərˌsɛri/ 对手
adversity: /ədˈvɜːrsəti/ 逆境
advertised: /ˈædvərˌtaɪzd/ 广告的
advertisement: /ˌædvərˈtɪzmənt/ 广告
advertising: /ˈædvərˌtaɪzɪŋ/ 广告
advice: /ədˈvaɪs/ 建议
advise: /ədˈvaɪz/ 建议
advised: /ədˈvaɪzd/ 被建议的
advisers: /ədˈvaɪzərz/ 顾问
advising: /ədˈvaɪzɪŋ/ 建议
advisor: /ədˈvaɪzər/ 顾问
advisors: /ədˈvaɪzərz/ 顾问
advisory: /ədˈvaɪzəri/ 咨询的
advocated: /ˈædvəˌkeɪtɪd/ 倡导的
advocating: /ˈædvəˌkeɪtɪŋ/ 倡导
aelius: /ˈeɪliəs/ 埃利乌斯
aelor: /ˈeɪlɔːr/ aelor
aerial: /ˈeəriəl/ 空中的
aerick: /ˈɛrɪk/ aerick
aeries: /ˈɪəriz/ 鸟巢
aero: /ˈɛəroʊ/ 航空的
aes: /iːˈɛs/ aes
aesthetic: /iːsˈθɛtɪk/ 美学的
aesthetically: /iːsˈθɛtɪkli/ 美学上
aesthetics: /iːsˈθɛtɪks/ 美学
aew: /eɪˈiːˈdʌbljuː/ aew
afar: /əˈfɑːr/ 遥远的
affair: /əˈfɛər/ 事情
affairs: /əˈfɛərz/ 事务
affect: /əˈfɛkt/ 影响
affected: /əˈfɛktɪd/ 受影响的
affecting: /əˈfɛktɪŋ/ 感动的
affection: /əˈfɛkʃən/ 感情
affectionately: /əˈfɛkʃənətli/ 深情地
affects: /əˈfɛkts/ 影响
affiliation: /əˌfɪliˈeɪʃən/ 隶属关系
affinity: /əˈfɪnəti/ 亲和力
afflicted: /əˈflɪktɪd/ 受苦的
affliction: /əˈflɪkʃən/ 痛苦
afford: /əˈfɔːrd/ 负担得起
affordable: /əˈfɔːrdəbəl/ 负担得起的
afforded: /əˈfɔːrdɪd/ 负担得起的
afghan: /ˈæfˌɡæn/ 阿富汗人
afghanistan: /æfˈɡænɪˌstæn/ 阿富汗
afghans: /ˈæfˌɡænz/ 阿富汗人
aforementioned: /əˌfɔːrˈmɛnʃənd/ 上述的
afraid: /əˈfreɪd/ 害怕的
africa: /ˈæfrɪkə/ 非洲
african: /ˈæfrɪkən/ 非洲的
africans: /ˈæfrɪkənz/ 非洲人
africanus: /ˌæfrɪˈkeɪnəs/ africanus
after: /ˈæftər/ 之后
afterlife: /ˈæftərˌlaɪf/ 来世
aftermath: /ˈæftərˌmæθ/ 后果
afternoon: /ˌæftərˈnuːn/ 下午
afterthought: /ˈæftərˌθɔːt/ 事后想法
afterward: /ˈæftərwərd/ 之后
afterwards: /ˈæftərwərdz/ 之后
ag: /eɪˈdʒiː/ ag
again: /əˈɡɛn/ 再次
against: /əˈɡɛnst/ 反对
agata: /ˈɑːɡətə/ 阿加塔
age: /eɪdʒ/ 年龄
aged: /eɪdʒd/ 年老的
agees: /eɪˈdʒiːz/ agees
agencies: /ˈeɪdʒənsiz/ 机构
agency: /ˈeɪdʒənsi/ 机构
agenda: /əˈdʒɛndə/ 议程
agent: /ˈeɪdʒənt/ 代理人
agentic: /eɪˈdʒɛntɪk/ agentic
agents: /ˈeɪdʒənts/ 代理人
ages: /eɪdʒɪz/ 年龄
aggie: /ˈæɡi/ aggie
aggregate: /ˈæɡrɪɡeɪt/ 聚集
aggregator: /ˈæɡrɪɡeɪtər/ 聚合器
aggression: /əˈɡrɛʃən/ 侵略
aggressive: /əˈɡrɛsɪv/ 侵略性的
aggressively: /əˈɡrɛsɪvli/ 侵略地
agile: /ˈædʒaɪl/ 敏捷的
agility: /əˈdʒɪləti/ 敏捷
agincourt: /ˈædʒɪnkɔːrt/ 阿金库尔
agitated: /ˈædʒɪˌteɪtɪd/ 激动不安的
agitating: /ˈædʒɪˌteɪtɪŋ/ 煽动
agitators: /ˈædʒɪˌteɪtərz/ 煽动者
agnes: /ˈæɡnɪs/ 艾格尼丝
ago: /əˈɡoʊ/ 以前
agree: /əˈɡriː/ 同意
agreeable: /əˈɡriːəbəl/ 令人愉快的
agreed: /əˈɡriːd/ 同意的
agreeing: /əˈɡriːɪŋ/ 同意
agreement: /əˈɡriːmənt/ 协议
agreements: /əˈɡriːmənts/ 协议
agria: /ˈæɡriə/ agria
agricultural: /ˌæɡrɪˈkʌltʃərəl/ 农业的
agriculturally: /ˌæɡrɪˈkʌltʃərəli/ 农业上
agriculture: /ˈæɡrɪˌkʌltʃər/ 农业
aguila: /ˈɑːɡɪlə/ 阿吉拉
agx: /eɪˌdʒiːˈɛks/ agx
ah: /ɑː/ 啊
ahad: /əˈhɑːd/ ahad
ahead: /əˈhɛd/ 在前面
ai: /eɪˈaɪ/ 人工智能
aian: /ˈeɪiən/ aian
aic: /eɪˈaɪˈsiː/ aic
aid: /eɪd/ 帮助
aided: /ˈeɪdɪd/ 帮助的
aiding: /ˈeɪdɪŋ/ 帮助
aids: /eɪdz/ 帮助
aiken: /ˈeɪkən/ 艾肯
ailan: /ˈɑːɪlən/ ailan
ailments: /ˈeɪlmənts/ 疾病
aim: /eɪm/ 目标
aimed: /eɪmd/ 瞄准的
aimer: /ˈeɪmər/ 瞄准器
aiming: /ˈeɪmɪŋ/ 瞄准
aims: /eɪmz/ 目标
aine: /ˈɑːnɛ/ aine
aips: /eɪˌaɪˌpiːˈɛs/ aips
air: /ɛər/ 空气
airbases: /ˈɛərˌbeɪsɪz/ 空军基地
airborne: /ˈɛərˌbɔːrn/ 空降的
airc: /eɪˈaɪˈɑːrsiː/ airc
aircraft: /ˈɛərˌkræft/ 飞机
aircrafts: /ˈɛərˌkræfts/ 飞机
aired: /ɛərd/ 播出的
airfield: /ˈɛərˌfiːld/ 机场
airfields: /ˈɛərˌfiːldz/ 机场
airin: /ˈeərɪn/ airin
airing: /ˈɛərɪŋ/ 通风
airlifted: /ˈɛərˌlɪftɪd/ 空运的
airliner: /ˈɛərˌlaɪnər/ 客机
airlines: /ˈɛərˌlaɪnz/ 航空公司
airmen: /ˈɛərmən/ 飞行员
airor: /ˈɛərɔːr/ airor
airplane: /ˈɛərˌpleɪn/ 飞机
airport: /ˈɛərˌpɔːrt/ 机场
airpower: /ˈɛərˌpaʊər/ 空中力量
airspace: /ˈɛərˌspeɪs/ 领空
airstrikes: /ˈɛərˌstraɪks/ 空袭
airy: /ˈɛəri/ 通风的
ais: /eɪˈaɪˈɛs/ ais
aisle: /aɪl/ 过道
aisles: /aɪlz/ 过道
aizi: /ˈaɪzi/ aizi
akarakorum: /ˌækərəˈkɔːrəm/ 喀喇昆仑山脉
akin: /əˈkɪn/ 类似的
akub: /ˈɑːkʌb/ akub
al: /æl/ 铝
alabama: /ˌæləˈbæmə/ 阿拉巴马州
alamani: /ˈɑːləˈmɑːni/ 阿拉玛尼人
alamein: /ˌælɪˈmeɪn/ 阿拉曼
alamos: /ˈæləməs/ 阿拉莫斯
alana: /əˈlɑːnə/ 阿拉娜
alar: /ˈɑːlɑːr/ alar
alaran: /ɑːˈlɑːrɑːn/ alaran
alarm: /əˈlɑːrm/ 警报
alarmed: /əˈlɑːrmd/ 惊慌的
alas: /əˈlæs/ 唉
alaska: /əˈlæskə/ 阿拉斯加州
albania: /ælˈbeɪniə/ 阿尔巴尼亚
albanian: /ælˈbeɪniən/ 阿尔巴尼亚的
albano: /ælˈbɑːnoʊ/ 阿尔巴诺
albans: /ˈɔːlbənz/ 阿尔班斯
albeit: /ˌɔːlˈbiːɪt/ 虽然
albert: /ˈælbərt/ 艾伯特
albo: /ˈɑːlboʊ/ albo
album: /ˈælbəm/ 相册
alcohol: /ˈælkəˌhɔːl/ 酒精
alcoholic: /ˌælkəˈhɔːlɪk/ 酒精的
alcoholism: /ˈælkəˌhɔːlɪzəm/ 酗酒
aldaran: /ˈɑːldərɑːn/ 奥尔德兰
aldin: /ˈɑːldɪn/ aldin
aldo: /ˈɑːldoʊ/ 奥尔多
alen: /ˈeɪlən/ 艾伦
alert: /əˈlɜːrt/ 警惕的
alerting: /əˈlɜːrtɪŋ/ 警惕
alex: /ˈæləks/ 亚历克斯
alexa: /ˈæləksə/ 艾丽克萨
alexander: /ˌælɪɡˈzændər/ 亚历山大
alexanderplatz: /ˌælɪɡˈzændərˌplɑːts/ 亚历山大广场
alexandria: /ˌælɪɡˈzændriə/ 亚历山大
alexe: /əˈlɛksiː/ 阿列克谢
alexei: /əˈlɛkseɪ/ 阿列克谢
alexnet: /ˈælɪksˌnɛt/ AlexNet
alfred: /ˈælfrəd/ 阿尔弗雷德
algebra: /ˈældʒɪbrə/ 代数


algebraic: /ˌældʒɪˈbreɪɪk/ 代数的
algebraically: /ˌældʒɪˈbreɪɪkli/ 代数地
algeria: /ælˈdʒɪəriə/ 阿尔及利亚
algorithm: /ˈælɡərɪðəm/ 算法
algorithms: /ˈælɡərɪðəmz/ 算法（复数）
algy: /ˈældʒi/ 阿尔吉 (人名)
ali: /ˈɑːli/ 阿里 (人名)
alia: /ˈeɪliə/ 阿莉娅（人名）
alias: /ˈeɪliəs/ 别名
aliases: /ˈeɪliəsɪz/ 别名（复数）
alibaba: /ˌæləˈbɑːbə/ 阿里巴巴
alicia: /əˈlɪʃə/ 艾丽西亚 (人名)
alien: /ˈeɪliən/ 外星人；外国人
aliens: /ˈeɪliənz/ 外星人（复数）；外国人（复数）
align: /əˈlaɪn/ 对齐
aligned: /əˈlaɪnd/ 对齐的
aligning: /əˈlaɪnɪŋ/ 对齐
alignment: /əˈlaɪnmənt/ 对齐
aligns: /əˈlaɪnz/ 对齐（第三人称单数）
alik: /əˈlɪk/ 阿利克 (人名)
alike: /əˈlaɪk/ 相似的
alisia: /əˈlɪʃə/ 艾丽西亚（人名）
alive: /əˈlaɪv/ 活着的
all: /ɔːl/ 所有
alleged: /əˈledʒd/ 被指称的
allegedly: /əˈledʒɪdli/ 据称
allegiance: /əˈliːdʒəns/ 忠诚
allegiances: /əˈliːdʒənsɪz/ 忠诚（复数）
allegorical: /ˌælɪˈɡɔːrɪkl/ 寓言的
allegory: /ˈælɪɡɔːri/ 寓言
allen: /ˈælən/ 艾伦 (人名)
allentown: /ˈæləntaʊn/ 艾伦镇
aller: /ˈælə/ 阿勒(人名)
alleviate: /əˈliːvieɪt/ 减轻
alleyway: /ˈæliweɪ/ 小巷
alliance: /əˈlaɪəns/ 联盟
alliances: /əˈlaɪənsɪz/ 联盟（复数）
allied: /ˈælaɪd/ 结盟的
allies: /ˈælaɪz/ 盟友
allocate: /ˈæləkeɪt/ 分配
allocated: /ˈæləkeɪtɪd/ 已分配的
allocating: /ˈæləkeɪtɪŋ/ 分配
allocations: /ˌæləˈkeɪʃənz/ 分配（复数）
allocator: /ˈæləkeɪtər/ 分配器
allons: /æˈlɒn/ （法语）我们走吧
allotted: /əˈlɒtɪd/ 分配的
allout: /ˈɔːlaʊt/ 全力以赴
allow: /əˈlaʊ/ 允许
allowed: /əˈlaʊd/ 允许的
allowing: /əˈlaʊɪŋ/ 允许
allows: /əˈlaʊz/ 允许（第三人称单数）
alloys: /ˈælɔɪz/ 合金
ally: /ˈælaɪ/ 盟友；结盟
allying: /ˈælaɪɪŋ/ 结盟
alma: /ˈælmə/ 阿尔玛（人名）
almost: /ˈɔːlməʊst/ 几乎
alone: /əˈləʊn/ 独自的
along: /əˈlɒŋ/ 沿着
alongside: /əˌlɒŋˈsaɪd/ 在...旁边
aloud: /əˈlaʊd/ 大声地
alp: /ælp/ 高山
alpha: /ˈælfə/ 阿尔法
alphabet: /ˈælfəbet/ 字母表
alphabetical: /ˌælfəˈbetɪkl/ 字母的
alphabetically: /ˌælfəˈbetɪkli/ 按字母顺序地
alphago: /ˈælfəɡoʊ/ 阿尔法围棋
alps: /ælps/ 阿尔卑斯山
alqualonde: /ˌælkwaˈlɒndeɪ/ 阿尔夸隆迪（虚构地点）
already: /ɔːlˈredi/ 已经
alright: /ɔːlˈraɪt/ 好的，行
alsace: /ˈælsæs/ 阿尔萨斯
also: /ˈɔːlsəʊ/ 也
alt: /ɔːlt/ (计算机) Alt键；备选的
altair: /ælˈteɪər/ 牛郎星；牵牛星
altar: /ˈɔːltər/ 祭坛
altars: /ˈɔːltərz/ 祭坛（复数）
alter: /ˈɔːltər/ 改变
altercation: /ˌɔːltərˈkeɪʃn/ 争吵
altered: /ˈɔːltərd/ 改变的
altering: /ˈɔːltərɪŋ/ 改变
alternate: /ˈɔːltərnət/ 交替的；备用的
alternating: /ˈɔːltərneɪtɪŋ/ 交替的
alternative: /ɔːlˈtɜːrnətɪv/ 替代的；替代方案
alternatively: /ɔːlˈtɜːrnətɪvli/ 或者
alternatives: /ɔːlˈtɜːrnətɪvz/ 替代方案（复数）
alternator: /ˈɔːltərneɪtər/ 交流发电机
although: /ɔːlˈðəʊ/ 虽然
altitude: /ˈæltɪtjuːd/ 海拔；高度
altitudes: /ˈæltɪtjuːdz/ 海拔（复数）；高度（复数）
altmark: /ˈæltmɑːrk/ 阿尔特马克
altogether: /ˌɔːltəˈɡeðər/ 完全地
aluat: /ˈɑːluːæt/ 阿卢阿特（人名）
aluminium: /ˌæljʊˈmɪniəm/ 铝（英式拼法）
aluminum: /əˈluːmɪnəm/ 铝（美式拼法）
aluri: /ˈɑːlʊri/ 阿卢里（人名）
